Row ID,Order ID,Order Date,Customer ID,State,Region,Product ID,Sales,Quantity,
1,CA-2016-152156,11/8/2016,CG-12520,Kentucky,South,FUR-BO-10001798,261.96,2,
2,CA-2016-152156,11/8/2016,CG-12520,Kentucky,South,FUR-CH-10000454,731.94,3,
3,CA-2016-138688,6/12/2016,DV-13045,California,West,OFF-LA-10000240,14.62,2,
4,US-2015-108966,10/11/2015,SO-20335,Florida,South,FUR-TA-10000577,957.5775,5,
5,US-2015-108966,10/11/2015,SO-20335,Florida,South,OFF-ST-10000760,22.368,2,
6,CA-2014-115812,6/9/2014,BH-11710,California,West,FUR-FU-10001487,48.86,7,
7,CA-2014-115812,6/9/2014,BH-11710,California,West,OFF-AR-10002833,7.28,4,
8,CA-2014-115812,6/9/2014,BH-11710,California,West,TEC-PH-10002275,907.152,6,
9,CA-2014-115812,6/9/2014,BH-11710,California,West,OFF-BI-10003910,18.504,3,
10,CA-2014-115812,6/9/2014,BH-11710,California,West,OFF-AP-10002892,114.9,5,
11,CA-2014-115812,6/9/2014,BH-11710,California,West,FUR-TA-10001539,1706.184,9,
12,CA-2014-115812,6/9/2014,BH-11710,California,West,TEC-PH-10002033,911.424,4,
13,CA-2017-114412,4/15/2017,AA-10480,North Carolina,South,OFF-PA-10002365,15.552,3,
14,CA-2016-161389,12/5/2016,IM-15070,Washington,West,OFF-BI-10003656,407.976,3,
15,US-2015-118983,11/22/2015,HP-14815,Texas,Central,OFF-AP-10002311,68.81,5,
16,US-2015-118983,11/22/2015,HP-14815,Texas,Central,OFF-BI-10000756,2.544,3,
17,CA-2014-105893,11/11/2014,PK-19075,Wisconsin,Central,OFF-ST-10004186,665.88,6,
18,CA-2014-167164,5/13/2014,AG-10270,Utah,West,OFF-ST-10000107,55.5,2,
19,CA-2014-143336,8/27/2014,ZD-21925,California,West,OFF-AR-10003056,8.56,2,
20,CA-2014-143336,8/27/2014,ZD-21925,California,West,TEC-PH-10001949,213.48,3,
21,CA-2014-143336,8/27/2014,ZD-21925,California,West,OFF-BI-10002215,22.72,4,
22,CA-2016-137330,12/9/2016,KB-16585,Nebraska,Central,OFF-AR-10000246,19.46,7,
23,CA-2016-137330,12/9/2016,KB-16585,Nebraska,Central,OFF-AP-10001492,60.34,7,
24,US-2017-156909,7/16/2017,SF-20065,Pennsylvania,East,FUR-CH-10002774,71.372,2,
25,CA-2015-106320,9/25/2015,EB-13870,Utah,West,FUR-TA-10000577,1044.63,3,
26,CA-2016-121755,1/16/2016,EH-13945,California,West,OFF-BI-10001634,11.648,2,
27,CA-2016-121755,1/16/2016,EH-13945,California,West,TEC-AC-10003027,90.57,3,
28,US-2015-150630,9/17/2015,TB-21520,Pennsylvania,East,FUR-BO-10004834,3083.43,7,
29,US-2015-150630,9/17/2015,TB-21520,Pennsylvania,East,OFF-BI-10000474,9.618,2,
30,US-2015-150630,9/17/2015,TB-21520,Pennsylvania,East,FUR-FU-10004848,124.2,3,
31,US-2015-150630,9/17/2015,TB-21520,Pennsylvania,East,OFF-EN-10001509,3.264,2,
32,US-2015-150630,9/17/2015,TB-21520,Pennsylvania,East,OFF-AR-10004042,86.304,6,
33,US-2015-150630,9/17/2015,TB-21520,Pennsylvania,East,OFF-BI-10001525,6.858,6,
34,US-2015-150630,9/17/2015,TB-21520,Pennsylvania,East,OFF-AR-10001683,15.76,2,
35,CA-2017-107727,10/19/2017,MA-17560,Texas,Central,OFF-PA-10000249,29.472,3,
36,CA-2016-117590,12/8/2016,GH-14485,Texas,Central,TEC-PH-10004977,1097.544,7,
37,CA-2016-117590,12/8/2016,GH-14485,Texas,Central,FUR-FU-10003664,190.92,5,
38,CA-2015-117415,12/27/2015,SN-20710,Texas,Central,OFF-EN-10002986,113.328,9,
39,CA-2015-117415,12/27/2015,SN-20710,Texas,Central,FUR-BO-10002545,532.3992,3,
40,CA-2015-117415,12/27/2015,SN-20710,Texas,Central,FUR-CH-10004218,212.058,3,
41,CA-2015-117415,12/27/2015,SN-20710,Texas,Central,TEC-PH-10000486,371.168,4,
42,CA-2017-120999,9/10/2017,LC-16930,Illinois,Central,TEC-PH-10004093,147.168,4,
43,CA-2016-101343,7/17/2016,RA-19885,California,West,OFF-ST-10003479,77.88,2,
44,CA-2017-139619,9/19/2017,ES-14080,Florida,South,OFF-ST-10003282,95.616,2,
45,CA-2016-118255,3/11/2016,ON-18715,Minnesota,Central,TEC-AC-10000171,45.98,2,
46,CA-2016-118255,3/11/2016,ON-18715,Minnesota,Central,OFF-BI-10003291,17.46,2,
47,CA-2014-146703,10/20/2014,PO-18865,Michigan,Central,OFF-ST-10001713,211.96,4,
48,CA-2016-169194,6/20/2016,LH-16900,Delaware,East,TEC-AC-10002167,45,3,
49,CA-2016-169194,6/20/2016,LH-16900,Delaware,East,TEC-PH-10003988,21.8,2,
50,CA-2015-115742,4/18/2015,DP-13000,Indiana,Central,OFF-BI-10004410,38.22,6,
51,CA-2015-115742,4/18/2015,DP-13000,Indiana,Central,OFF-LA-10002762,75.18,6,
52,CA-2015-115742,4/18/2015,DP-13000,Indiana,Central,FUR-FU-10001706,6.16,2,
53,CA-2015-115742,4/18/2015,DP-13000,Indiana,Central,FUR-CH-10003061,89.99,1,
54,CA-2016-105816,12/11/2016,JM-15265,New York,East,OFF-FA-10000304,15.26,7,
55,CA-2016-105816,12/11/2016,JM-15265,New York,East,TEC-PH-10002447,1029.95,5,
56,CA-2016-111682,6/17/2016,TB-21055,New York,East,OFF-ST-10000604,208.56,6,
57,CA-2016-111682,6/17/2016,TB-21055,New York,East,OFF-PA-10001569,32.4,5,
58,CA-2016-111682,6/17/2016,TB-21055,New York,East,FUR-CH-10003968,319.41,5,
59,CA-2016-111682,6/17/2016,TB-21055,New York,East,OFF-PA-10000587,14.56,2,
60,CA-2016-111682,6/17/2016,TB-21055,New York,East,TEC-AC-10002167,30,2,
61,CA-2016-111682,6/17/2016,TB-21055,New York,East,OFF-BI-10001460,48.48,4,
62,CA-2016-111682,6/17/2016,TB-21055,New York,East,OFF-AR-10001868,1.68,1,
63,CA-2015-135545,11/24/2015,KM-16720,California,West,TEC-AC-10004633,13.98,2,
64,CA-2015-135545,11/24/2015,KM-16720,California,West,OFF-BI-10001078,25.824,6,
65,CA-2015-135545,11/24/2015,KM-16720,California,West,OFF-PA-10003892,146.73,3,
66,CA-2015-135545,11/24/2015,KM-16720,California,West,FUR-FU-10000397,79.76,4,
67,US-2015-164175,4/30/2015,PS-18970,Illinois,Central,FUR-CH-10001146,213.115,5,
68,CA-2014-106376,12/5/2014,BS-11590,Arizona,West,OFF-AR-10002671,1113.024,8,
69,CA-2014-106376,12/5/2014,BS-11590,Arizona,West,TEC-PH-10002726,167.968,4,
70,CA-2016-119823,6/4/2016,KD-16270,Virginia,South,OFF-PA-10000482,75.88,2,
71,CA-2016-106075,9/18/2016,HM-14980,New York,East,OFF-BI-10004654,4.616,1,
72,CA-2017-114440,9/14/2017,TB-21520,Michigan,Central,OFF-PA-10004675,19.05,3,
73,US-2015-134026,4/26/2015,JE-15745,Tennessee,South,FUR-CH-10000513,831.936,8,
74,US-2015-134026,4/26/2015,JE-15745,Tennessee,South,FUR-FU-10003708,97.04,2,
75,US-2015-134026,4/26/2015,JE-15745,Tennessee,South,OFF-ST-10004123,72.784,1,
76,US-2017-118038,12/9/2017,KB-16600,Texas,Central,OFF-BI-10004182,1.248,3,
77,US-2017-118038,12/9/2017,KB-16600,Texas,Central,FUR-FU-10000260,9.708,3,
78,US-2017-118038,12/9/2017,KB-16600,Texas,Central,OFF-ST-10000615,27.24,3,
79,US-2014-147606,11/26/2014,JE-15745,Texas,Central,FUR-FU-10003194,19.3,5,
80,CA-2016-127208,6/12/2016,SC-20770,Alabama,South,OFF-AP-10002118,208.16,1,
81,CA-2016-127208,6/12/2016,SC-20770,Alabama,South,OFF-BI-10002309,16.74,3,
82,CA-2014-139451,10/12/2014,DN-13690,California,West,OFF-AR-10002053,14.9,5,
83,CA-2014-139451,10/12/2014,DN-13690,California,West,OFF-ST-10002370,21.39,1,
